Make,Vehicle Class,Engine Size(L),Cylinders,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
AUDI,SUBCOMPACT,3,6,Z,14.6,9.8,12.4,23,285
AUDI,SUBCOMPACT,3,6,Z,13.3,9.5,11.6,24,267
AUDI,MID-SIZE,4,8,Z,14.2,9.7,12.2,23,281
AUDI,MID-SIZE,4,8,Z,14.2,9.7,12.2,23,281
AUDI,MID-SIZE,4,8,Z,15.8,9.2,12.8,22,300
AUDI,SUV - SMALL,3,6,Z,14.9,10.1,12.7,22,292
AUDI,SUBCOMPACT,2,4,Z,10.4,7.6,9.1,31,209
AUDI,TWO-SEATER,2,4,Z,10.4,7.6,9.1,31,209
AUDI,SUBCOMPACT,2,4,Z,11.5,8.8,10.3,27,237
AUDI,TWO-SEATER,2,4,Z,11.5,8.8,10.3,27,237
AUDI,SUBCOMPACT,1.8,4,Z,10,7.1,8.7,32,200
AUDI,SUBCOMPACT,2,4,D,7.6,5.5,6.5,43,177
AUDI,SUBCOMPACT,2,4,Z,9.8,7.2,8.6,33,198
AUDI,SUBCOMPACT,2,4,Z,10.1,7.5,8.9,32,205
AUDI,COMPACT,2,4,Z,9.9,7.6,8.9,32,205
AUDI,COMPACT,2,4,Z,11,7.8,9.6,29,221
AUDI,COMPACT,2,4,Z,10.6,7.3,9.1,31,209
AUDI,STATION WAGON - SMALL,2,4,Z,11.2,8.4,9.9,28,228
AUDI,SUBCOMPACT,2,4,Z,11,7.8,9.6,29,221
AUDI,SUBCOMPACT,2,4,Z,10.6,7.3,9.1,31,209
AUDI,SUBCOMPACT,2,4,Z,11.3,8,9.8,29,225
AUDI,MID-SIZE,2,4,Z,12,8.1,10.3,27,237
AUDI,MID-SIZE,3,6,Z,12.8,8.6,10.9,26,251
AUDI,MID-SIZE,3,6,D,9.8,6.2,8.1,35,217
AUDI,MID-SIZE,3,6,Z,13.1,8.5,11,26,253
AUDI,MID-SIZE,3,6,D,9.8,6.2,8.1,35,217
AUDI,MID-SIZE,3,6,Z,12.6,8,10.5,27,242
AUDI,MID-SIZE,4,8,Z,12.9,8,10.7,26,246
AUDI,MID-SIZE,3,6,D,9.8,6.5,8.4,34,224
AUDI,FULL-SIZE,3,6,Z,12.6,8,10.5,27,242
AUDI,FULL-SIZE,4,8,Z,13.2,8.3,11,26,258
AUDI,FULL-SIZE,6.3,12,Z,17.8,10.8,14.6,19,344
AUDI,FULL-SIZE,3,6,D,9.8,6.5,8.4,34,224
AUDI,COMPACT,2,4,Z,12,8.2,10.3,27,237
AUDI,COMPACT,2,4,Z,11.9,8.4,10.3,27,237
AUDI,SUV - SMALL,2,4,Z,12,8.5,10.4,27,239
AUDI,SUV - SMALL,3,6,Z,13.2,9.2,11.4,25,262
AUDI,SUV - SMALL,3,6,D,10.2,7.8,9,31,244
AUDI,SUV - SMALL,2,4,Z,9.8,7.9,8.9,32,205
AUDI,SUV - STANDARD,3,6,Z,15.2,11,13.3,21,306
AUDI,SUV - STANDARD,3,6,D,12.4,8.7,10.7,26,290
AUDI,TWO-SEATER,4.2,8,Z,17.3,10.4,14.2,20,327
AUDI,TWO-SEATER,4.2,8,Z,20.5,11.7,16.6,17,382
AUDI,TWO-SEATER,5.2,10,Z,18.2,10.6,14.8,19,347
AUDI,TWO-SEATER,5.2,10,Z,19.9,12,16.4,17,377
AUDI,TWO-SEATER,4.2,8,Z,17.3,10.4,14.2,20,327
AUDI,TWO-SEATER,4.2,8,Z,20.5,11.7,16.6,17,382
AUDI,TWO-SEATER,5.2,10,Z,18.2,10.6,14.8,19,347
AUDI,TWO-SEATER,5.2,10,Z,19.9,12,16.4,17,377
AUDI,SUBCOMPACT,4.2,8,Z,14.9,10.1,12.8,22,294
AUDI,SUBCOMPACT,4.2,8,Z,14.8,10.6,12.9,22,297
AUDI,MID-SIZE,4,8,Z,16.6,9.4,13.3,21,313
AUDI,SUBCOMPACT,2,4,Z,10.1,7.7,9,31,207
AUDI,COMPACT,3,6,Z,13,8.5,11,26,253
AUDI,COMPACT,3,6,Z,13.8,9,11.7,24,269
AUDI,SUBCOMPACT,3,6,Z,13,8.5,11,26,253
AUDI,SUBCOMPACT,3,6,Z,13.8,9,11.7,24,269
AUDI,SUBCOMPACT,3,6,Z,13.3,9.1,11.4,25,262
AUDI,MID-SIZE,4,8,Z,14,8.7,11.7,24,269
AUDI,MID-SIZE,4,8,Z,14,8.7,11.7,24,269
AUDI,MID-SIZE,4,8,Z,14.6,8.8,11.9,24,281
AUDI,SUV - SMALL,3,6,Z,14.1,9.9,12.2,23,281
AUDI,SUBCOMPACT,2,4,Z,10.4,7.6,9.1,31,209
AUDI,TWO-SEATER,2,4,Z,10.4,7.7,9.2,31,212
AUDI,SUBCOMPACT,2,4,Z,11.7,8.4,10.2,28,235
AUDI,TWO-SEATER,2,4,Z,11.7,8.5,10.2,28,235
AUDI,SUBCOMPACT,1.8,4,X,10,7.1,8.7,32,204
AUDI,SUBCOMPACT,2,4,X,9.8,7.2,8.6,33,201
AUDI,SUBCOMPACT,2,4,X,10.1,7.5,8.9,32,208
AUDI,COMPACT,2,4,Z,9.9,7.6,8.9,32,212
AUDI,COMPACT,2,4,Z,11,7.8,9.6,29,224
AUDI,COMPACT,2,4,Z,10.6,7.3,9.1,31,214
AUDI,STATION WAGON - SMALL,2,4,Z,11.2,8.4,9.9,29,232
AUDI,SUBCOMPACT,2,4,Z,11,7.8,9.6,29,224
AUDI,SUBCOMPACT,2,4,Z,10.6,7.3,9.1,31,214
AUDI,SUBCOMPACT,2,4,Z,11.3,8,9.8,29,230
AUDI,MID-SIZE,2,4,Z,10.8,7.3,9.2,31,211
AUDI,MID-SIZE,3,6,Z,11.6,7.9,9.9,29,232
AUDI,MID-SIZE,3,6,D,9.4,6.2,7.8,36,213
AUDI,MID-SIZE,3,6,Z,11.6,7.9,9.9,29,232
AUDI,MID-SIZE,3,6,D,9.4,6.2,7.8,36,213
AUDI,MID-SIZE,3,6,Z,12.6,8,10.5,27,247
AUDI,MID-SIZE,4,8,Z,12.9,8,10.7,26,249
AUDI,MID-SIZE,3,6,D,9.8,6.5,8.4,34,224
AUDI,FULL-SIZE,4,8,Z,13.1,8.3,10.9,26,255
AUDI,FULL-SIZE,6.3,12,Z,17.8,10.8,14.6,19,344
AUDI,COMPACT,2,4,Z,12,8.2,10.3,27,242
AUDI,COMPACT,2,4,Z,11.9,8.4,10.3,27,240
AUDI,SUV - SMALL,2,4,Z,12,8.5,10.4,27,244
AUDI,SUV - SMALL,3,6,Z,13.2,9.2,11.4,25,267
AUDI,SUV - SMALL,3,6,D,10.2,7.8,9,31,244
AUDI,SUV - SMALL,2,4,Z,9.8,7.9,8.9,32,209
AUDI,MID-SIZE,4,8,Z,16.6,9.4,13.3,21,313
AUDI,SUBCOMPACT,2,4,Z,10.1,7.7,9,31,211
AUDI,COMPACT,3,6,Z,13,8.5,11,26,257
AUDI,COMPACT,3,6,Z,13.8,9,11.7,24,273
AUDI,SUBCOMPACT,3,6,Z,13,8.5,11,26,257
AUDI,SUBCOMPACT,3,6,Z,13.8,9,11.7,24,273
AUDI,SUBCOMPACT,3,6,Z,13.3,9.1,11.4,25,266
AUDI,MID-SIZE,4,8,Z,13.3,8.8,11.3,25,263
AUDI,MID-SIZE,4,8,Z,13.4,8.8,11.4,25,265
AUDI,MID-SIZE,4,8,Z,15.7,9.4,12.8,22,300
AUDI,SUV - SMALL,3,6,Z,14.1,9.9,12.2,23,285
AUDI,SUBCOMPACT,2,4,X,10.1,7.8,9.1,31,209
AUDI,TWO-SEATER,2,4,X,10.1,7.8,9.1,31,209
AUDI,SUBCOMPACT,2,4,Z,10.3,8.6,9.5,30,222
AUDI,SUBCOMPACT,2,4,X,9.1,6.8,8,35,188
AUDI,SUBCOMPACT,2,4,X,9.7,7.5,8.7,32,205
AUDI,SUBCOMPACT,2,4,X,10.8,8,9.5,30,223
AUDI,COMPACT,2,4,Z,8.6,6.4,7.6,37,177
AUDI,COMPACT,2,4,Z,9.8,7.7,8.8,32,205
AUDI,COMPACT,2,4,Z,9.9,7,8.6,33,204
AUDI,STATION WAGON - SMALL,2,4,Z,10.2,8.3,9.3,30,217
AUDI,SUBCOMPACT,2,4,Z,11,8,9.7,29,226
AUDI,SUBCOMPACT,2,4,Z,10.4,7.3,9,31,210
AUDI,SUBCOMPACT,2,4,Z,11.3,8.2,9.9,29,231
AUDI,MID-SIZE,2,4,Z,10.9,7.5,9.4,30,220
AUDI,MID-SIZE,3,6,Z,11.5,8.2,10,28,238
AUDI,MID-SIZE,3,6,Z,11.5,8.2,10,28,238
AUDI,MID-SIZE,3,6,Z,12.6,8,10.5,27,246
AUDI,MID-SIZE,4,8,Z,12.9,8,10.7,26,249
AUDI,FULL-SIZE,4,8,Z,13.1,8.3,10.9,26,255
AUDI,COMPACT,2,4,Z,11.9,8.4,10.3,27,243
AUDI,COMPACT,2,4,Z,11.9,8.4,10.3,27,241
AUDI,SUV - SMALL,2,4,Z,12,8.6,10.5,27,246
AUDI,SUV - SMALL,3,6,Z,13.2,9.2,11.4,25,267
AUDI,SUV - STANDARD,2,4,Z,11.9,9.6,10.8,26,253
AUDI,SUV - STANDARD,3,6,Z,12.6,9.4,11.1,25,260
AUDI,TWO-SEATER,5.2,10,Z,16.5,11.2,14.1,20,330
AUDI,TWO-SEATER,5.2,10,Z,16.5,11.2,14.1,20,330
AUDI,MID-SIZE,4,8,Z,16.2,9.3,13.1,22,309
AUDI,SUBCOMPACT,2,4,Z,11,8.5,9.9,29,232
AUDI,SUBCOMPACT,3,6,Z,13,8.5,11,26,259
AUDI,SUBCOMPACT,3,6,Z,13.8,9,11.7,24,273
AUDI,SUBCOMPACT,3,6,Z,13.3,9.1,11.4,25,266
AUDI,MID-SIZE,4,8,Z,13.3,8.8,11.3,25,263
AUDI,MID-SIZE,4,8,Z,13.4,8.8,11.4,25,265
AUDI,MID-SIZE,4,8,Z,16.2,9.9,13.4,21,312
AUDI,SUV - SMALL,3,6,Z,14.1,9.9,12.2,23,285
AUDI,SUBCOMPACT,2,4,X,10.1,7.8,9.1,31,209
AUDI,TWO-SEATER,2,4,X,10.1,7.8,9.1,31,209
AUDI,SUBCOMPACT,2,4,Z,10.3,8.6,9.5,30,222
AUDI,SUBCOMPACT,2,4,X,9.1,6.8,8,35,188
AUDI,SUBCOMPACT,2,4,X,9.7,7.5,8.7,32,205
AUDI,SUBCOMPACT,2,4,X,10.8,8,9.5,30,223
AUDI,COMPACT,2,4,Z,8.6,6.4,7.6,37,177
AUDI,COMPACT,2,4,Z,10,7,8.7,32,203
AUDI,COMPACT,2,4,Z,9.9,7.1,8.7,32,204
AUDI,STATION WAGON - SMALL,2,4,Z,10.5,7.9,9.3,30,217
AUDI,SUBCOMPACT,2,4,Z,10,7,8.7,32,203
AUDI,SUBCOMPACT,2,4,Z,9.9,7.1,8.7,32,204
AUDI,SUBCOMPACT,2,4,Z,10,7,8.7,32,203
AUDI,MID-SIZE,2,4,Z,10,7,8.7,32,203
AUDI,MID-SIZE,2,4,Z,10.6,7.5,9.2,31,216
AUDI,MID-SIZE,3,6,Z,11.5,8.2,10,28,235
AUDI,MID-SIZE,3,6,Z,11.5,8.2,10,28,235
AUDI,FULL-SIZE,3,6,Z,12.6,8,10.5,27,247
AUDI,FULL-SIZE,4,8,Z,15.1,9.1,12.4,23,290
AUDI,FULL-SIZE,4,8,Z,15.1,9.1,12.4,23,290
AUDI,COMPACT,2,4,Z,11.6,8.3,10.1,28,236
AUDI,COMPACT,2,4,Z,11.9,8.4,10.3,27,240
AUDI,SUV - SMALL,2,4,Z,10.4,8.6,9.6,29,226
AUDI,SUV - STANDARD,2,4,Z,12.2,9.5,11,26,258
AUDI,SUV - STANDARD,3,6,Z,12.6,9.4,11.1,25,260
AUDI,TWO-SEATER,5.2,10,Z,16,9.5,13.1,22,304
AUDI,TWO-SEATER,5.2,10,Z,17.1,11.3,14.5,19,338
AUDI,TWO-SEATER,5.2,10,Z,17.1,11.3,14.5,19,338
AUDI,SUBCOMPACT,2.5,5,Z,12.4,8.3,10.5,27,248
AUDI,SUBCOMPACT,2.9,6,Z,12.9,8.9,11.1,25,260
AUDI,MID-SIZE,4,8,Z,17,9.6,13.7,21,318
AUDI,SUBCOMPACT,2,4,Z,10.6,8.3,9.6,29,223
AUDI,COMPACT,3,6,Z,11.5,8,9.9,29,232
AUDI,SUBCOMPACT,3,6,Z,11.5,8,9.9,29,232
AUDI,SUBCOMPACT,3,6,Z,11.9,8.1,10.2,28,239
AUDI,MID-SIZE,3,6,Z,11.5,8,9.9,29,232
AUDI,MID-SIZE,4,8,Z,15,10,12.8,22,298
AUDI,MID-SIZE,4,8,Z,15,10,12.8,22,298
AUDI,MID-SIZE,4,8,Z,16.2,9.9,13.4,21,313
AUDI,SUV - SMALL,3,6,Z,12.7,10,11.5,25,270
AUDI,SUBCOMPACT,2,4,X,10.1,7.8,9.1,31,209
AUDI,TWO-SEATER,2,4,X,10.1,7.8,9.1,31,209
AUDI,SUBCOMPACT,2.5,5,Z,12.3,8.2,10.5,27,245
AUDI,SUBCOMPACT,2,4,Z,10.3,8.6,9.5,30,222
AUDI,SUBCOMPACT,2,4,X,9.1,6.8,8.1,35,188
AUDI,SUBCOMPACT,2,4,X,10.9,7.9,9.6,29,225
AUDI,SUBCOMPACT,2,4,X,10.7,7.9,9.5,30,221
AUDI,COMPACT,2,4,Z,8.6,6.9,7.8,36,182
AUDI,COMPACT,2,4,Z,10,7,8.7,32,204
AUDI,STATION WAGON - SMALL,2,4,Z,10.7,8,9.5,30,221
AUDI,SUBCOMPACT,2,4,Z,10,7,8.7,32,204
AUDI,SUBCOMPACT,2,4,Z,10,7,8.7,32,204
AUDI,MID-SIZE,2,4,Z,10,7,8.7,32,204
AUDI,MID-SIZE,3,6,Z,10.7,8.2,9.6,29,224
AUDI,MID-SIZE,3,6,Z,10.7,8.2,9.6,29,224
AUDI,FULL-SIZE,3,6,Z,12.5,8.6,10.8,26,252
AUDI,SUV - SMALL,2,4,X,12.3,8.6,10.6,27,248
AUDI,SUV - SMALL,2,4,Z,10.9,8.7,9.9,29,230
AUDI,SUV - STANDARD,2,4,Z,12.2,9.5,11,26,258
AUDI,SUV - STANDARD,3,6,Z,12.6,9.4,11.1,25,260
AUDI,SUV - STANDARD,3,6,Z,14,10.7,12.5,23,294
AUDI,SUBCOMPACT,2.5,5,Z,12.4,8.4,10.6,27,247
AUDI,SUBCOMPACT,2.9,6,Z,13.3,8.7,11.3,25,262
AUDI,MID-SIZE,2.9,6,Z,13.5,9,11.5,25,268
AUDI,SUBCOMPACT,2,4,Z,10.7,8,9.5,30,222
AUDI,COMPACT,3,6,Z,11.3,8,9.8,29,230
AUDI,SUBCOMPACT,3,6,Z,11.3,8,9.8,29,230
AUDI,SUBCOMPACT,3,6,Z,11.4,8.2,9.9,29,234
AUDI,MID-SIZE,3,6,Z,11.3,8,9.8,29,230
AUDI,SUV - SMALL,3,6,Z,12.7,10,11.5,25,270
AUDI,SUBCOMPACT,2,4,X,10.3,7.7,9.2,31,213
AUDI,TWO-SEATER,2,4,X,10.3,7.7,9.2,31,213
AUDI,SUBCOMPACT,2.5,5,Z,12,8.3,10.3,27,241
AUDI,SUBCOMPACT,2,4,Z,10.4,8.2,9.4,30,220
AUDI,SUBCOMPACT,2,4,X,8.8,6.5,7.8,36,182
AUDI,SUBCOMPACT,2,4,X,10.8,8,9.5,30,224
AUDI,SUBCOMPACT,2,4,X,10.8,8,9.5,30,224
AUDI,COMPACT,2,4,Z,10,7.3,8.8,32,205
AUDI,STATION WAGON - SMALL,2,4,Z,10,7.4,8.8,32,206
AUDI,SUBCOMPACT,2,4,Z,10,7.3,8.8,32,205
AUDI,SUBCOMPACT,2,4,Z,10,7.4,8.8,32,206
AUDI,MID-SIZE,2,4,Z,10,7.3,8.8,32,205
AUDI,MID-SIZE,2,4,Z,9.8,7.4,8.7,32,205
AUDI,MID-SIZE,3,6,Z,10.9,8.2,9.7,29,226
AUDI,MID-SIZE,3,6,Z,11.8,9.1,10.6,27,247
AUDI,MID-SIZE,3,6,Z,10.9,8.2,9.7,29,226
AUDI,FULL-SIZE,3,6,Z,13.5,8.9,11.5,25,267
AUDI,FULL-SIZE,4,8,Z,15.4,10.4,13.2,21,308
AUDI,SUV - SMALL,2,4,X,12.3,8.6,10.6,27,248
AUDI,SUV - SMALL,2,4,Z,10.7,8.4,9.7,29,226
AUDI,SUV - STANDARD,3,6,Z,13.8,11.4,12.7,22,296
AUDI,SUV - STANDARD,3,6,Z,13.8,11.4,12.7,22,296
AUDI,TWO-SEATER,5.2,10,Z,17.5,11.7,14.9,19,347
AUDI,TWO-SEATER,5.2,10,Z,17.5,11.7,14.9,19,347
AUDI,SUBCOMPACT,2.5,5,Z,12.1,8.4,10.4,27,243
AUDI,SUBCOMPACT,2,4,Z,10.7,8,9.5,30,222
AUDI,COMPACT,3,6,Z,11.8,8.9,10.5,27,245
AUDI,SUBCOMPACT,3,6,Z,11.8,8.9,10.5,27,245
AUDI,SUBCOMPACT,3,6,Z,12.1,9.1,10.8,26,252
AUDI,MID-SIZE,3,6,Z,11.8,8.9,10.5,27,245
AUDI,MID-SIZE,2.9,6,Z,12.9,8.5,10.9,26,255
AUDI,MID-SIZE,2.9,6,Z,12.9,8.5,10.9,26,255
AUDI,FULL-SIZE,4,8,Z,17.6,10.7,14.5,19,339
AUDI,SUV - SMALL,3,6,Z,13.1,10.3,11.8,24,276
AUDI,SUBCOMPACT,2,4,X,10.3,7.7,9.1,31,213
AUDI,TWO-SEATER,2,4,X,10.3,7.7,9.1,31,213
AUDI,SUBCOMPACT,2.5,5,Z,12.1,8.2,10.3,27,241
AUDI,SUBCOMPACT,2,4,Z,10.4,8.2,9.4,30,220
BMW,COMPACT,2,4,Z,10,6.5,8.4,34,193
BMW,COMPACT,2,4,Z,10.4,6.7,8.7,32,200
BMW,COMPACT,2,4,Z,10.2,7,8.8,32,202
BMW,COMPACT,2,4,D,7.6,5.5,6.7,42,181
BMW,STATION WAGON - SMALL,2,4,D,7.6,5.5,6.7,42,181
BMW,COMPACT,2,4,Z,10,6.5,8.4,34,193
BMW,COMPACT,2,4,Z,10.4,6.7,8.7,32,200
BMW,COMPACT,2,4,Z,10.6,7.2,9.1,31,209
BMW,FULL-SIZE,2,4,Z,10.6,7.2,9.1,31,209
BMW,STATION WAGON - SMALL,2,4,Z,10.6,7.2,9.1,31,209
BMW,COMPACT,3,6,Z,11.4,7.3,9.6,29,221
BMW,COMPACT,3,6,Z,11.8,7.9,10,28,230
BMW,COMPACT,3,6,Z,11.7,7.8,9.9,29,228
BMW,COMPACT,3,6,Z,11.9,8.3,10.3,27,237
BMW,FULL-SIZE,3,6,Z,11.9,8,10.1,28,232
BMW,COMPACT,2,4,Z,10,6.5,8.4,34,193
BMW,COMPACT,2,4,Z,10.4,6.7,8.7,32,200
BMW,COMPACT,2,4,Z,10.6,7.2,9.1,31,209
BMW,COMPACT,3,6,Z,11.4,7.3,9.6,29,221
BMW,COMPACT,3,6,Z,11.8,7.9,10,28,230
BMW,COMPACT,3,6,Z,11.7,7.8,9.9,29,228
BMW,COMPACT,3,6,Z,11.9,8.3,10.3,27,237
BMW,MID-SIZE,2,4,Z,10.2,7,8.8,32,202
BMW,MID-SIZE,2,4,Z,10.6,7.2,9.1,31,209
BMW,MID-SIZE,3,6,D,9.2,6.4,7.9,36,213
BMW,MID-SIZE,3,6,Z,11.9,8,10.1,28,232
BMW,FULL-SIZE,3,6,Z,12.5,8.6,10.7,26,246
BMW,MID-SIZE,4.4,8,Z,14.4,9.6,12.2,23,281
BMW,FULL-SIZE,4.4,8,Z,15,9.8,12.7,22,292
BMW,COMPACT,3,6,Z,11.9,8,10.1,28,232
BMW,SUBCOMPACT,4.4,8,Z,15,9.8,12.7,22,292
BMW,COMPACT,4.4,8,Z,14.4,9.6,12.2,23,281
BMW,COMPACT,4.4,8,Z,15,9.8,12.7,22,292
BMW,FULL-SIZE,3,6,Z,12.5,8.6,10.7,26,246
BMW,FULL-SIZE,4.4,8,Z,15,9.8,12.7,22,292
BMW,FULL-SIZE,4.4,8,Z,15,9.8,12.7,22,292
BMW,FULL-SIZE,6,12,Z,18.7,11.5,15.5,18,356
BMW,COMPACT,3,6,Z,9.2,7.1,8.3,34,191
BMW,MID-SIZE,3,6,Z,10.5,7.9,9.3,30,214
BMW,FULL-SIZE,3,6,Z,10.5,7.6,9.2,31,212
BMW,FULL-SIZE,4.4,8,Z,15,9.8,12.7,22,292
BMW,FULL-SIZE,4.4,8,Z,15,9.8,12.7,22,292
BMW,MID-SIZE,4.4,8,Z,17.3,11.5,14.7,19,338
BMW,MID-SIZE,4.4,8,Z,16.2,10.9,13.8,20,317
BMW,COMPACT,4.4,8,Z,17.3,11.5,14.7,19,338
BMW,COMPACT,4.4,8,Z,16.2,10.9,13.8,20,317
BMW,SUBCOMPACT,4.4,8,Z,17.3,11.5,14.7,19,338
BMW,SUBCOMPACT,4.4,8,Z,16.2,10.9,13.8,20,317
BMW,COMPACT,4.4,8,Z,17.3,11.5,14.7,19,338
BMW,COMPACT,4.4,8,Z,16.2,10.9,13.8,20,317
BMW,SUV - SMALL,2,4,Z,10.6,7.2,9.1,31,209
BMW,SUV - SMALL,3,6,Z,13.2,8.9,11.3,25,260
BMW,SUV - SMALL,2,4,Z,11.2,8.5,10,28,230
BMW,SUV - SMALL,3,6,Z,12.6,9.1,11,26,253
BMW,SUV - STANDARD,3,6,Z,12.9,8.8,11.1,25,255
BMW,SUV - STANDARD,4.4,8,Z,16.3,10.9,13.9,20,320
BMW,SUV - STANDARD,4.4,8,Z,18.1,13.7,16.1,18,370
BMW,SUV - STANDARD,3,6,Z,13.6,9.8,11.9,24,274
BMW,SUV - STANDARD,4.4,8,Z,16.4,11.3,14.1,20,324
BMW,TWO-SEATER,2,4,Z,10.8,7.1,9.1,31,209
BMW,TWO-SEATER,2,4,Z,10.4,6.7,8.7,32,200
BMW,TWO-SEATER,3,6,Z,13.7,10.1,12.1,23,278
BMW,TWO-SEATER,3,6,Z,12.7,9,11,26,253
BMW,TWO-SEATER,3,6,Z,13.7,10.1,12.1,23,278
BMW,SUBCOMPACT,2,4,Z,10.4,7.1,8.9,32,205
BMW,SUBCOMPACT,2,4,Z,10,6.5,8.4,34,193
BMW,SUBCOMPACT,2,4,Z,10.7,6.9,9,31,207
BMW,SUBCOMPACT,2,4,Z,10.6,7.2,9.1,31,209
BMW,SUBCOMPACT,2,4,Z,10.3,6.7,8.7,32,200
BMW,COMPACT,2,4,Z,10,6.5,8.4,34,193
BMW,COMPACT,2,4,Z,10.7,6.9,9,31,207
BMW,COMPACT,2,4,Z,10.3,6.7,8.7,32,200
BMW,COMPACT,2,4,D,7.6,5.5,6.7,42,181
BMW,STATION WAGON - SMALL,2,4,D,7.6,5.5,6.7,42,181
BMW,COMPACT,2,4,Z,10,6.5,8.4,34,193
BMW,COMPACT,2,4,Z,10.7,6.9,9,31,207
BMW,COMPACT,2,4,Z,10.6,7.2,9.1,31,209
BMW,FULL-SIZE,2,4,Z,10.6,7.2,9.1,31,209
BMW,STATION WAGON - SMALL,2,4,Z,10.6,7.2,9.1,31,209
BMW,COMPACT,3,6,Z,11.4,7.4,9.6,29,221
BMW,COMPACT,3,6,Z,11.5,7.8,9.8,29,225
BMW,COMPACT,3,6,Z,11.9,7.8,10,28,230
BMW,COMPACT,3,6,Z,12,8.3,10.3,27,237
BMW,FULL-SIZE,3,6,Z,11.9,7.8,10,28,230
BMW,SUBCOMPACT,2,4,Z,10.4,7.1,8.9,32,205
BMW,COMPACT,2,4,Z,10,6.5,8.4,34,193
BMW,COMPACT,2,4,Z,10.7,6.9,9,31,207
BMW,COMPACT,2,4,Z,10.4,7.1,8.9,32,205
BMW,COMPACT,2,4,Z,10.9,6.8,9,31,207
BMW,SUBCOMPACT,2,4,Z,11.2,7.5,9.6,29,221
BMW,COMPACT,2,4,Z,10.6,7.2,9.1,31,209
BMW,COMPACT,2,4,Z,10.6,7.2,9.1,31,209
BMW,SUBCOMPACT,3,6,Z,11.8,7.6,9.9,29,228
BMW,COMPACT,3,6,Z,11.4,7.4,9.6,29,221
BMW,COMPACT,3,6,Z,11.5,7.8,9.8,29,225
BMW,COMPACT,3,6,Z,11.4,7.4,9.6,29,221
BMW,SUBCOMPACT,3,6,Z,12.1,8.1,10.3,27,237
BMW,COMPACT,3,6,Z,11.9,7.8,10,28,230
BMW,COMPACT,3,6,Z,12,8.3,10.3,27,237
